asin,sku,price,quantity,currency,sale-price,sale-from-date,sale-through-date,restock-date,minimum-seller-allowed-price,maximum-seller-allowed-price,fulfillment-channel,handling-time
1561588431,SKU_1561588431_1751687490,3460,2,JPY,,,,,3360,3560,,10
1592334083,SKU_1592334083_1751687496,5310,2,JPY,,,,,5210,5410,,10
1412777976,SKU_1412777976_1751687520,3280,2,JPY,,,,,3180,3380,,10
0711252866,SKU_0711252866_1751687523,3390,2,JPY,,,,,3290,3490,,10
9811212457,SKU_9811212457_1751687530,2430,2,JPY,,,,,2330,2530,,10
1609928342,SKU_1609928342_1751687540,4100,2,JPY,,,,,4000,4200,,10
1780977867,SKU_1780977867_1751687547,3550,2,JPY,,,,,3450,3650,,10
1592337465,SKU_1592337465_1751687557,4110,2,JPY,,,,,4010,4210,,10
1495069257,SKU_1495069257_1751687560,2370,2,JPY,,,,,2270,2470,,10
1543986765,SKU_1543986765_1751687564,3700,2,JPY,,,,,3600,3800,,10
0593450329,SKU_0593450329_1751687570,3360,2,JPY,,,,,3260,3460,,10
1680993690,SKU_1680993690_1751687574,3190,2,JPY,,,,,3090,3290,,10
1407581244,SKU_1407581244_1751687577,3110,2,JPY,,,,,3010,3210,,10
1682614522,SKU_1682614522_1751687580,3380,2,JPY,,,,,3280,3480,,10
2812315318,SKU_2812315318_1751687586,4380,2,JPY,,,,,4280,4480,,10
1592339778,SKU_1592339778_1751687589,2810,2,JPY,,,,,2710,2910,,10
1784728365,SKU_1784728365_1751687595,2410,2,JPY,,,,,2310,2510,,10
1578265304,SKU_1578265304_1751687601,1990,2,JPY,,,,,1890,2090,,10
0880342897,SKU_0880342897_1751687604,8390,2,JPY,,,,,8290,8490,,10
0814400469,SKU_0814400469_1751687607,2320,2,JPY,,,,,2220,2420,,10
1612431224,SKU_1612431224_1751687613,1590,2,JPY,,,,,1490,1690,,10
1936297272,SKU_1936297272_1751687616,3260,2,JPY,,,,,3160,3360,,10
0393708098,SKU_0393708098_1751687641,2980,2,JPY,,,,,2880,3080,,10
0802413870,SKU_0802413870_1751687644,3170,2,JPY,,,,,3070,3270,,10
006290745X,SKU_006290745X_1751687647,2370,2,JPY,,,,,2270,2470,,10
0736965645,SKU_0736965645_1751687653,2840,2,JPY,,,,,2740,2940,,10
1601632649,SKU_1601632649_1751687656,2570,2,JPY,,,,,2470,2670,,10
1609945921,SKU_1609945921_1751687663,2140,2,JPY,,,,,2040,2240,,10
1507218230,SKU_1507218230_1751687684,2190,2,JPY,,,,,2090,2290,,10
0385679831,SKU_0385679831_1751687690,5650,2,JPY,,,,,5550,5750,,10
1781800847,SKU_1781800847_1751687709,5060,2,JPY,,,,,4960,5160,,10
9813238283,SKU_9813238283_1751687715,3150,2,JPY,,,,,3050,3250,,10
0762447222,SKU_0762447222_1751687718,3230,2,JPY,,,,,3130,3330,,10
1459708075,SKU_1459708075_1751687738,10590,2,JPY,,,,,10490,10690,,10
1605989835,SKU_1605989835_1751687741,2490,2,JPY,,,,,2390,2590,,10
0241249430,SKU_0241249430_1751687759,2810,2,JPY,,,,,2710,2910,,10
1576879445,SKU_1576879445_1751687763,9750,2,JPY,,,,,9650,9850,,10
0500545030,SKU_0500545030_1751687771,3540,2,JPY,,,,,3440,3640,,10
0786035919,SKU_0786035919_1751687780,2380,2,JPY,,,,,2280,2480,,10
1501198777,SKU_1501198777_1751687798,4300,2,JPY,,,,,4200,4400,,10
1501198785,SKU_1501198785_1751687802,2760,2,JPY,,,,,2660,2860,,10
0062128558,SKU_0062128558_1751687805,3150,2,JPY,,,,,3050,3250,,10
1642931934,SKU_1642931934_1751687807,2900,2,JPY,,,,,2800,3000,,10
0374306699,SKU_0374306699_1751687811,4330,2,JPY,,,,,4230,4430,,10
1847203957,SKU_1847203957_1751687823,10870,2,JPY,,,,,10770,10970,,10
1493005952,SKU_1493005952_1751687850,2380,2,JPY,,,,,2280,2480,,10
168099333X,SKU_168099333X_1751687853,3330,2,JPY,,,,,3230,3430,,10
1524759937,SKU_1524759937_1751687860,4900,2,JPY,,,,,4800,5000,,10
1616897422,SKU_1616897422_1751687863,2290,2,JPY,,,,,2190,2390,,10
1620974037,SKU_1620974037_1751687866,3060,2,JPY,,,,,2960,3160,,10
1594205515,SKU_1594205515_1751687872,4330,2,JPY,,,,,4230,4430,,10
1780528825,SKU_1780528825_1751687889,8860,2,JPY,,,,,8760,8960,,10
156858878X,SKU_156858878X_1751687892,2370,2,JPY,,,,,2270,2470,,10
1510704922,SKU_1510704922_1751687901,3490,2,JPY,,,,,3390,3590,,10
1780977840,SKU_1780977840_1751687904,2290,2,JPY,,,,,2190,2390,,10
1578265541,SKU_1578265541_1751687907,1620,2,JPY,,,,,1520,1720,,10
1524733431,SKU_1524733431_1751687925,7650,2,JPY,,,,,7550,7750,,10
0385344910,SKU_0385344910_1751687932,5680,2,JPY,,,,,5580,5780,,10
0760361436,SKU_0760361436_1751687938,4980,2,JPY,,,,,4880,5080,,10
1523095083,SKU_1523095083_1751687941,2780,2,JPY,,,,,2680,2880,,10
1786431718,SKU_1786431718_1751687950,4050,2,JPY,,,,,3950,4150,,10
1597266973,SKU_1597266973_1751687959,13160,2,JPY,,,,,13060,13260,,10
0275997820,SKU_0275997820_1751687965,2730,2,JPY,,,,,2630,2830,,10
1781004706,SKU_1781004706_1751687968,17400,2,JPY,,,,,17300,17500,,10
1510708588,SKU_1510708588_1751687990,2330,2,JPY,,,,,2230,2430,,10
1667822527,SKU_1667822527_1751688036,4210,2,JPY,,,,,4110,4310,,10
1626568022,SKU_1626568022_1751688039,2250,2,JPY,,,,,2150,2350,,10
0814473342,SKU_0814473342_1751688042,2980,2,JPY,,,,,2880,3080,,10
1800651031,SKU_1800651031_1751688045,4130,2,JPY,,,,,4030,4230,,10
1946989487,SKU_1946989487_1751688048,2140,2,JPY,,,,,2040,2240,,10
0771017391,SKU_0771017391_1751688074,6580,2,JPY,,,,,6480,6680,,10
0801473632,SKU_0801473632_1751688077,4210,2,JPY,,,,,4110,4310,,10
039916524X,SKU_039916524X_1751688083,2490,2,JPY,,,,,2390,2590,,10
109831302X,SKU_109831302X_1751688087,2650,2,JPY,,,,,2550,2750,,10
0062405578,SKU_0062405578_1751688090,3060,2,JPY,,,,,2960,3160,,10
1440598673,SKU_1440598673_1751688093,2220,2,JPY,,,,,2120,2320,,10
1787391310,SKU_1787391310_1751688101,2400,2,JPY,,,,,2300,2500,,10
0387733833,SKU_0387733833_1751688110,3650,2,JPY,,,,,3550,3750,,10
1620971240,SKU_1620971240_1751688123,3040,2,JPY,,,,,2940,3140,,10
142140902X,SKU_142140902X_1751688129,4110,2,JPY,,,,,4010,4210,,10
0425225909,SKU_0425225909_1751688141,3010,2,JPY,,,,,2910,3110,,10
1843769433,SKU_1843769433_1751688144,10530,2,JPY,,,,,10430,10630,,10
1847200389,SKU_1847200389_1751688148,7350,2,JPY,,,,,7250,7450,,10
059323359X,SKU_059323359X_1751688156,3790,2,JPY,,,,,3690,3890,,10
1626865973,SKU_1626865973_1751688163,4110,2,JPY,,,,,4010,4210,,10
030795949X,SKU_030795949X_1751688169,3450,2,JPY,,,,,3350,3550,,10
1615196048,SKU_1615196048_1751688201,2270,2,JPY,,,,,2170,2370,,10
1529412587,SKU_1529412587_1751688204,5690,2,JPY,,,,,5590,5790,,10
0762770619,SKU_0762770619_1751688207,3750,2,JPY,,,,,3650,3850,,10
0821383868,SKU_0821383868_1751688210,5740,2,JPY,,,,,5640,5840,,10
074946688X,SKU_074946688X_1751688213,5060,2,JPY,,,,,4960,5160,,10
0878147640,SKU_0878147640_1751688219,16260,2,JPY,,,,,16160,16360,,10
0821353799,SKU_0821353799_1751688246,4150,2,JPY,,,,,4050,4250,,10
1783479795,SKU_1783479795_1751688259,13940,2,JPY,,,,,13840,14040,,10
1781316740,SKU_1781316740_1751688264,3250,2,JPY,,,,,3150,3350,,10
1950508005,SKU_1950508005_1751688267,2870,2,JPY,,,,,2770,2970,,10
1608467414,SKU_1608467414_1751688273,1980,2,JPY,,,,,1880,2080,,10
1784418587,SKU_1784418587_1751688282,8800,2,JPY,,,,,8700,8900,,10
1781316562,SKU_1781316562_1751688288,4970,2,JPY,,,,,4870,5070,,10
3790819611,SKU_3790819611_1751688291,7290,2,JPY,,,,,7190,7390,,10
1586488066,SKU_1586488066_1751688302,3700,2,JPY,,,,,3600,3800,,10
0718084535,SKU_0718084535_1751688308,3200,2,JPY,,,,,3100,3300,,10
1946764213,SKU_1946764213_1751688311,2430,2,JPY,,,,,2330,2530,,10
0879697911,SKU_0879697911_1751688326,4520,2,JPY,,,,,4420,4620,,10
178185937X,SKU_178185937X_1751688347,4090,2,JPY,,,,,3990,4190,,10
1481439987,SKU_1481439987_1751688350,2480,2,JPY,,,,,2380,2580,,10
0817642587,SKU_0817642587_1751688356,3320,2,JPY,,,,,3220,3420,,10
0387949631,SKU_0387949631_1751688362,14060,2,JPY,,,,,13960,14160,,10
081440877X,SKU_081440877X_1751688364,3120,2,JPY,,,,,3020,3220,,10
3642011934,SKU_3642011934_1751688370,6190,2,JPY,,,,,6090,6290,,10
938505919X,SKU_938505919X_1751688388,4110,2,JPY,,,,,4010,4210,,10
0060542705,SKU_0060542705_1751688390,7730,2,JPY,,,,,7630,7830,,10
9811227179,SKU_9811227179_1751688397,16570,2,JPY,,,,,16470,16670,,10
0857851519,SKU_0857851519_1751688404,3260,2,JPY,,,,,3160,3360,,10
1615198806,SKU_1615198806_1751688416,3390,2,JPY,,,,,3290,3490,,10
0812985354,SKU_0812985354_1751688425,2140,2,JPY,,,,,2040,2240,,10
0062641816,SKU_0062641816_1751688434,2560,2,JPY,,,,,2460,2660,,10
1849207399,SKU_1849207399_1751688440,2930,2,JPY,,,,,2830,3030,,10
1849207836,SKU_1849207836_1751688443,3110,2,JPY,,,,,3010,3210,,10
1446201619,SKU_1446201619_1751688446,5720,2,JPY,,,,,5620,5820,,10
0367650940,SKU_0367650940_1751688451,5760,2,JPY,,,,,5660,5860,,10
159240930X,SKU_159240930X_1751688454,4210,2,JPY,,,,,4110,4310,,10
184597851X,SKU_184597851X_1751688463,6230,2,JPY,,,,,6130,6330,,10
1538718464,SKU_1538718464_1751688466,2240,2,JPY,,,,,2140,2340,,10
1941529763,SKU_1941529763_1751688469,4960,2,JPY,,,,,4860,5060,,10
0231125860,SKU_0231125860_1751688505,13740,2,JPY,,,,,13640,13840,,10
1783479272,SKU_1783479272_1751688510,7270,2,JPY,,,,,7170,7370,,10
1632867575,SKU_1632867575_1751688513,5090,2,JPY,,,,,4990,5190,,10
0393354822,SKU_0393354822_1751688516,2650,2,JPY,,,,,2550,2750,,10
1611802156,SKU_1611802156_1751688525,3610,2,JPY,,,,,3510,3710,,10
014312370X,SKU_014312370X_1751688528,3010,2,JPY,,,,,2910,3110,,10
1616897074,SKU_1616897074_1751688534,3950,2,JPY,,,,,3850,4050,,10
2361953471,SKU_2361953471_1751688540,4660,2,JPY,,,,,4560,4760,,10
1633221709,SKU_1633221709_1751688543,3390,2,JPY,,,,,3290,3490,,10
1600588808,SKU_1600588808_1751688549,2250,2,JPY,,,,,2150,2350,,10
1912248700,SKU_1912248700_1751688565,1800,2,JPY,,,,,1700,1900,,10
0500203660,SKU_0500203660_1751688568,4890,2,JPY,,,,,4790,4990,,10
0062886835,SKU_0062886835_1751688580,3080,2,JPY,,,,,2980,3180,,10
1941332404,SKU_1941332404_1751688595,5970,2,JPY,,,,,5870,6070,,10
1421415380,SKU_1421415380_1751688603,5690,2,JPY,,,,,5590,5790,,10
1664168516,SKU_1664168516_1751688606,2200,2,JPY,,,,,2100,2300,,10
0821377388,SKU_0821377388_1751688619,5940,2,JPY,,,,,5840,6040,,10
0199737541,SKU_0199737541_1751688631,4220,2,JPY,,,,,4120,4320,,10
1784717886,SKU_1784717886_1751688637,12740,2,JPY,,,,,12640,12840,,10
1510730257,SKU_1510730257_1751688643,3240,2,JPY,,,,,3140,3340,,10
0199734070,SKU_0199734070_1751688646,10330,2,JPY,,,,,10230,10430,,10
1250760755,SKU_1250760755_1751688652,3270,2,JPY,,,,,3170,3370,,10
0821379844,SKU_0821379844_1751688655,5680,2,JPY,,,,,5580,5780,,10
1780520549,SKU_1780520549_1751688658,10630,2,JPY,,,,,10530,10730,,10
1781909385,SKU_1781909385_1751688675,9740,2,JPY,,,,,9640,9840,,10
1849506256,SKU_1849506256_1751688678,8580,2,JPY,,,,,8480,8680,,10
1784410683,SKU_1784410683_1751688681,4540,2,JPY,,,,,4440,4640,,10
0387257071,SKU_0387257071_1751688686,7780,2,JPY,,,,,7680,7880,,10
1953295533,SKU_1953295533_1751688695,3140,2,JPY,,,,,3040,3240,,10
1484238540,SKU_1484238540_1751688707,5150,2,JPY,,,,,5050,5250,,10
1780524420,SKU_1780524420_1751688719,8000,2,JPY,,,,,7900,8100,,10
1513668781,SKU_1513668781_1751688737,4560,2,JPY,,,,,4460,4660,,10
1864704551,SKU_1864704551_1751688749,3160,2,JPY,,,,,3060,3260,,10
1592537529,SKU_1592537529_1751688755,3320,2,JPY,,,,,3220,3420,,10
0525571698,SKU_0525571698_1751688767,4170,2,JPY,,,,,4070,4270,,10
0525570330,SKU_0525570330_1751688770,2380,2,JPY,,,,,2280,2480,,10
0525570349,SKU_0525570349_1751688773,2280,2,JPY,,,,,2180,2380,,10
0525570365,SKU_0525570365_1751688776,2330,2,JPY,,,,,2230,2430,,10
0801075874,SKU_0801075874_1751688797,2910,2,JPY,,,,,2810,3010,,10
0077075765,SKU_0077075765_1751688802,6310,2,JPY,,,,,6210,6410,,10
3540794158,SKU_3540794158_1751688808,3270,2,JPY,,,,,3170,3370,,10
1503735451,SKU_1503735451_1751688822,2950,2,JPY,,,,,2850,3050,,10
0857834460,SKU_0857834460_1751688831,2820,2,JPY,,,,,2720,2920,,10
1859040047,SKU_1859040047_1751688843,9720,2,JPY,,,,,9620,9820,,10
1859040039,SKU_1859040039_1751688847,11120,2,JPY,,,,,11020,11220,,10
0566076519,SKU_0566076519_1751688852,11680,2,JPY,,,,,11580,11780,,10
0879103833,SKU_0879103833_1751688858,3040,2,JPY,,,,,2940,3140,,10
1250060400,SKU_1250060400_1751688870,3700,2,JPY,,,,,3600,3800,,10
1098375076,SKU_1098375076_1751688876,3290,2,JPY,,,,,3190,3390,,10
3540744738,SKU_3540744738_1751688882,3670,2,JPY,,,,,3570,3770,,10
0768017920,SKU_0768017920_1751688885,5900,2,JPY,,,,,5800,6000,,10
1644728249,SKU_1644728249_1751688891,2460,2,JPY,,,,,2360,2560,,10
1403948984,SKU_1403948984_1751688897,1230,2,JPY,,,,,1130,1330,,10
0578650193,SKU_0578650193_1751688900,2530,2,JPY,,,,,2430,2630,,10
8192426483,SKU_8192426483_1751688906,4220,2,JPY,,,,,4120,4320,,10
1783508981,SKU_1783508981_1751688920,8160,2,JPY,,,,,8060,8260,,10
178884047X,SKU_178884047X_1751688926,8340,2,JPY,,,,,8240,8440,,10
1402065132,SKU_1402065132_1751688950,7430,2,JPY,,,,,7330,7530,,10
1800377851,SKU_1800377851_1751688979,2950,2,JPY,,,,,2850,3050,,10
1784716944,SKU_1784716944_1751688982,3090,2,JPY,,,,,2990,3190,,10
1784718564,SKU_1784718564_1751688985,3500,2,JPY,,,,,3400,3600,,10
1846288886,SKU_1846288886_1751688994,9480,2,JPY,,,,,9380,9580,,10
3540779795,SKU_3540779795_1751688997,7300,2,JPY,,,,,7200,7400,,10
0789031388,SKU_0789031388_1751689009,2430,2,JPY,,,,,2330,2530,,10
9813299665,SKU_9813299665_1751689012,10640,2,JPY,,,,,10540,10740,,10
1932634622,SKU_1932634622_1751689024,9280,2,JPY,,,,,9180,9380,,10
1781908389,SKU_1781908389_1751689034,8100,2,JPY,,,,,8000,8200,,10
178441588X,SKU_178441588X_1751689040,9050,2,JPY,,,,,8950,9150,,10
1783508515,SKU_1783508515_1751689043,9100,2,JPY,,,,,9000,9200,,10
0857242016,SKU_0857242016_1751689049,7860,2,JPY,,,,,7760,7960,,10
0536673772,SKU_0536673772_1751689069,4720,2,JPY,,,,,4620,4820,,10
3540684360,SKU_3540684360_1751689072,3670,2,JPY,,,,,3570,3770,,10
9812778659,SKU_9812778659_1751689075,11330,2,JPY,,,,,11230,11430,,10
0817643990,SKU_0817643990_1751689078,9070,2,JPY,,,,,8970,9170,,10
1847209084,SKU_1847209084_1751689093,5350,2,JPY,,,,,5250,5450,,10
3039288350,SKU_3039288350_1751689099,5870,2,JPY,,,,,5770,5970,,10
1780529368,SKU_1780529368_1751689102,8220,2,JPY,,,,,8120,8320,,10
1784413801,SKU_1784413801_1751689105,4890,2,JPY,,,,,4790,4990,,10
0387308342,SKU_0387308342_1751689108,13910,2,JPY,,,,,13810,14010,,10
9812708626,SKU_9812708626_1751689117,12910,2,JPY,,,,,12810,13010,,10
904813191X,SKU_904813191X_1751689126,11520,2,JPY,,,,,11420,11620,,10
1784416525,SKU_1784416525_1751689129,8270,2,JPY,,,,,8170,8370,,10
0857248170,SKU_0857248170_1751689132,7860,2,JPY,,,,,7760,7960,,10
1780527543,SKU_1780527543_1751689135,8750,2,JPY,,,,,8650,8850,,10
1781908427,SKU_1781908427_1751689138,7300,2,JPY,,,,,7200,7400,,10
4431727337,SKU_4431727337_1751689148,4730,2,JPY,,,,,4630,4830,,10
1848557809,SKU_1848557809_1751689154,8410,2,JPY,,,,,8310,8510,,10
1783509708,SKU_1783509708_1751689157,9100,2,JPY,,,,,9000,9200,,10
1780521960,SKU_1780521960_1751689163,7950,2,JPY,,,,,7850,8050,,10
3319181637,SKU_3319181637_1751689172,13720,2,JPY,,,,,13620,13820,,10
0387741569,SKU_0387741569_1751689182,4690,2,JPY,,,,,4590,4790,,10
085724759X,SKU_085724759X_1751689194,12360,2,JPY,,,,,12260,12460,,10
0857244531,SKU_0857244531_1751689197,9020,2,JPY,,,,,8920,9120,,10
0723409668,SKU_0723409668_1751689211,4630,2,JPY,,,,,4530,4730,,10
0393068781,SKU_0393068781_1751689220,5240,2,JPY,,,,,5140,5340,,10
0393341240,SKU_0393341240_1751689223,3240,2,JPY,,,,,3140,3340,,10
1683831217,SKU_1683831217_1751689231,2390,2,JPY,,,,,2290,2490,,10
0316536946,SKU_0316536946_1751689246,3950,2,JPY,,,,,3850,4050,,10
0856607061,SKU_0856607061_1751689261,1600,2,JPY,,,,,1500,1700,,10
0500286876,SKU_0500286876_1751689267,5630,2,JPY,,,,,5530,5730,,10
